Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
28,Shadab Khan,Kuldeep Yadav,,full,outside,0,0,1,cut,"Kuldeep Yadav to Shadab Khan, 1 run, Shadab backs away and Kuldeep goes flat"
29,Shadab Khan,Kuldeep Yadav,,full,outside,0,0,0,cut,"Kuldeep Yadav to Shadab Khan, no run, floated up on off, invites Shadab to drive and it was slightly uppish towards point"
30,Iftikhar Ahmed,Jadeja,,full,outside,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, 98ks delivery that's fraction short, Iftikhar chops it towards cover-point"
31,Iftikhar Ahmed,Jadeja,,full,straight,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, 99ks dart around off, Iftikhar angles it to backward point"
32,Shadab Khan,Jadeja,,full,outside,0,0,1,cut,"Jadeja to Shadab Khan, 1 run, 96ks full delivery, Shadab drives uppishly towards long-off"
33,Shadab Khan,Jadeja,,full,outside,0,0,2,cut,"Jadeja to Shadab Khan, 2 runs, short and outside off, Shadab cuts it square on the off-side and races back for the second"
34,Iftikhar Ahmed,Jadeja,,full,outside,0,0,1,cover drive,"Jadeja to Iftikhar Ahmed, 1 run, flatter and around off, Iftikhar opens the bat face and directs it to cover-point"
35,Iftikhar Ahmed,Jadeja,,full,straight,0,0,0,flick,"Jadeja to Iftikhar Ahmed, no run, drifts in with the angle, Iftikhar nudges it to mid-wicket"
36,Shadab Khan,Kuldeep Yadav,,full,outside,0,0,0,cut,"Kuldeep Yadav to Shadab Khan, no run, pushed through on off, Shadab knocks it back down the wicket"
37,Shadab Khan,Kuldeep Yadav,,full,outside,0,0,0,cut,"Kuldeep Yadav to Shadab Khan, no run, floated up on off and middle, Shadab pushes it back to Kuldeep"
38,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,3,defend,"Kuldeep Yadav to Iftikhar Ahmed, 3 runs, chance and not taken"
39,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Iftikhar Ahmed, no run, quicker delivery on off, Iftikhar makes room and chops it to point"
40,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Iftikhar Ahmed, no run, short and turning in, Iftikhar is cramped and mistimes the pull to mid-wicket"
41,Iftikhar Ahmed,Kuldeep Yadav,,short,straight,0,0,0,flick,"Kuldeep Yadav to Iftikhar Ahmed, no run, flighted on leg-stump, Iftikhar works it with the spin to mid-wicket"
42,Iftikhar Ahmed,Jadeja,,full,outside,0,0,1,defend,"Jadeja to Iftikhar Ahmed, 1 run, short of length around off, Iftikhar knocks it to long-off"
43,Shadab Khan,Jadeja,,full,outside,0,0,1,cut,"Jadeja to Shadab Khan, 1 run, flatter and outside off, Shadab directs it square of the wicket"
44,Shadab Khan,Jadeja,,short,outside,0,0,0,cut,"Jadeja to Shadab Khan, no run, slower, shorter and turns away, Shadab is stuck to the crease and goes feeling for the ball, beaten"
45,Iftikhar Ahmed,Jadeja,,full,outside,0,0,1,drive,"Jadeja to Iftikhar Ahmed, 1 run, full and outside off, Iftikhar drives square and the sweeper tidies up"
46,Shadab Khan,Jadeja,,full,outside,0,0,1,cut,"Jadeja to Shadab Khan, 1 run, darted outside off, Shadab opens the bat face and eases it to sweeper cover"
47,Iftikhar Ahmed,Jadeja,,length,outside,0,0,1,defend,"Jadeja to Iftikhar Ahmed, 1 run, quicker and around off, Iftikhar plays it wide of cover and crosses over"
48,Agha Salman,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Agha Salman, out Lbw,, Pakistan don't lose the review"
49,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,1,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, he thought about the sweep but the length was too full, eases it to long-on"
50,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Iftikhar Ahmed, no run, flatter and close to off, Iftikhar knocks it towards cover"
51,Agha Salman,Kuldeep Yadav,,short,straight,0,0,1,defend,"Kuldeep Yadav to Agha Salman, 1 run, googly on leg-stump, Salman sweeps on the bounce to deep backward square"
52,Agha Salman,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Agha Salman, no run, quicker delivery at the stumps, Salman turns it to mid-wicket"
53,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,1,flick,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, half tracker and Iftikhar pulls to deep mid-wicket"
54,Agha Salman,Jadeja,,full,outside,0,0,2,defend,"Jadeja to Agha Salman, 2 runs, this time Salman connects with the paddle sweep and sends it to fine leg, easy brace"
55,Agha Salman,Jadeja,,full,straight,0,0,0,defend,"Jadeja to Agha Salman, no run, 95ks full delivery on off, Salman pushes firmly to cover"
56,Iftikhar Ahmed,Jadeja,,length,outside,0,0,1,defend,"Jadeja to Iftikhar Ahmed, 1 run, very full delivery on off, Iftikhar digs it out to mid-on and quickly crosses over"
57,Agha Salman,Jadeja,,full,outside,0,0,1,drive,"Jadeja to Agha Salman, 1 run, quicker and outside off, Salman drives to sweeper cover"
58,Agha Salman,Jadeja,,full,outside,0,0,4,defend,"Jadeja to Agha Salman, FOUR, calculated risk"
59,Iftikhar Ahmed,Jadeja,,full,straight,0,0,1,defend,"Jadeja to Iftikhar Ahmed, 1 run, short and outside off, Iftikhar cuts to backward point and Gill fumbles"
60,Agha Salman,Kuldeep Yadav,,full,outside,0,0,0,cover drive,"Kuldeep Yadav to Agha Salman, no run, ufff, Googly and it turns away sharply, Salman leans forward and closes the bat face, beaten all ends up"
61,Agha Salman,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Agha Salman, no run, quicker delivery close to off, Salman pushes it back to Kuldeep"
62,Iftikhar Ahmed,Kuldeep Yadav,,length,outside,0,0,1,defend,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, wrong 'un on off, Iftikhar pushes to mid-off and quickly crosses over"
63,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, not all that short but Iftikhar still goes for the pull, toe-ends it to the off-side"
64,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, short of length googly around off, Iftikhar defends down the pitch"
65,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Iftikhar Ahmed, no run, flatter and skidding on, Iftikhar knocks it to mid-wicket"
66,Agha Salman,Jadeja,,full,straight,0,0,0,drive,"Jadeja to Agha Salman, no run, ouch, Oh no"
67,Iftikhar Ahmed,Jadeja,,full,outside,0,0,1,cover drive,"Jadeja to Iftikhar Ahmed, 1 run, 94ks full delivery outside off, Iftikhar opens the bat face and eases it to sweeper cover"
68,Iftikhar Ahmed,Jadeja,,full,outside,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, holds the length back a bit, Iftikhar knocks it to cover"
69,Agha Salman,Jadeja,,full,straight,0,0,1,defend,"Jadeja to Agha Salman, 1 run, 93ks fullish delivery and Salman drives to long-off"
70,Iftikhar Ahmed,Jadeja,,full,outside,0,0,1,defend,"Jadeja to Iftikhar Ahmed, 1 run, 95ks delivery close to off, Iftikhar pushes it towards point"
71,Agha Salman,Jadeja,,full,outside,0,0,1,cover drive,"Jadeja to Agha Salman, 1 run, starts with a dart around off, Salman eases it to cover"
72,Agha Salman,Kuldeep Yadav,,short,outside,0,0,1,defend,"Kuldeep Yadav to Agha Salman, 1 run, full delivery on leg-stump, Salman drives it to long-on"
73,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,1,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, shortens the length, Iftikhar flicks it uppishly wide of mid-wicket"
74,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, uhhh, Wrong 'un and Iftikhar had no clue, he played for the ball turning in and is beaten on the outside edge"
75,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, tossed up outside off, Iftikhar blocks to the off-side"
76,Fakhar Zaman,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Fakhar Zaman, out Bowled,, Cleaned up, Zaman survived some nervy moments early on, was dropped by Rohit in Kuldeep's first over and finally he perishes"
77,Fakhar Zaman,Kuldeep Yadav,,full,straight,0,0,0,drive,"Kuldeep Yadav to Fakhar Zaman, no run, drifts across and turns, Zaman defends to the left of Kuldeep"
78,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,1,flick,"Hardik Pandya to Fakhar Zaman, 1 run, short and banged into the wicket, Zaman pulls to deep square leg"
79,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, slower ball down leg, Zaman misses the glance and the ball rolls off the pad to Rahul"
80,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, back of a length close to off, Zaman defends to the off-side"
81,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,4,defend,"Hardik Pandya to Fakhar Zaman, FOUR, finally some intent and Zaman gets it off the middle too"
82,Agha Salman,Hardik Pandya,,full,straight,0,0,1,drive,"Hardik Pandya to Agha Salman, 1 run, on a length and outside off, Salman drives square and the sweeper tidies up"
83,Agha Salman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, 140ks delivery pounded into the pitch and gets a bit of extra lift, Salman fends it with soft hands to mid-wicket"
84,Fakhar Zaman,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Fakhar Zaman, no run, touch quicker now, Zaman stays back and defends off the outer half to backward point"
85,Agha Salman,Kuldeep Yadav,,full,straight,0,0,1,defend,"Kuldeep Yadav to Agha Salman, 1 run, bit too full in length and Salman drives it down to long-on"
86,Agha Salman,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Agha Salman, no run, slower and drifted across, Salman defends to cover"
87,Fakhar Zaman,Kuldeep Yadav,,full,outside,0,0,1,cut,"Kuldeep Yadav to Fakhar Zaman, 1 run, floated up close to off, Zaman sweeps to deep mid-wicket and Kishan keeps it to a single"
88,Fakhar Zaman,Kuldeep Yadav,,full,outside,0,0,0,cover drive,"Kuldeep Yadav to Fakhar Zaman, no run, dropped? By the reactions of the players, it looks like Rohit has put it down"
89,Fakhar Zaman,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Fakhar Zaman, no run, flighted around off, Zaman pushes it off the inner half to mid-on"
90,Agha Salman,Hardik Pandya,,full,outside,0,0,0,cover drive,"Hardik Pandya to Agha Salman, no run, on a length and outside off, Salman shoulders arms"
91,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,1,defend,"Hardik Pandya to Fakhar Zaman, 1 run, hip-lined delivery, Zaman tucks it to deep square leg"
92,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, charges down the wicket and is met by a shortened length, misses the tuck and is struck on the thigh pad"
93,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, angled outside off, Zaman lifts his bat and lets it go"
94,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, fullish delivery on off, Zaman defends it back to Hardik"
95,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,0,drive,"Hardik Pandya to Fakhar Zaman, no run,"
96,Agha Salman,Thakur,,full,outside,0,0,0,cover drive,"Thakur to Agha Salman, no run, decks in from good length and cuts Salman into half, he was pressing forward to defend but is beaten due to the movement"
97,Fakhar Zaman,Thakur,,full,straight,0,0,1,defend,"Thakur to Fakhar Zaman, 1 run, too straight - on middle and leg, Zaman flicks to deep square leg"
98,Fakhar Zaman,Thakur,,full,leg,0,0,0,defend,"Thakur to Fakhar Zaman, no run, 136ks back of a length delivery on off, Zaman blocks it to Shardul"
99,Fakhar Zaman,Thakur,,full,straight,0,0,0,cover drive,"Thakur to Fakhar Zaman, no run, stifled appeal for LBW"
100,Agha Salman,Thakur,,full,outside,0,0,1,cover drive,"Thakur to Agha Salman, 1 run, full and outside off, Salman drives with an open bat face towards sweeper cover"
101,Fakhar Zaman,Thakur,,full,straight,0,0,1,defend,"Thakur to Fakhar Zaman, 1 run, hip-lined delivery, Zaman tucks it to deep square leg"
102,Agha Salman,Hardik Pandya,,full,outside,0,0,0,cover drive,"Hardik Pandya to Agha Salman, no run, beauty, How has that missed the edge or off-stump? Salman is lucky to be out there"
103,Agha Salman,Hardik Pandya,,full,straight,0,0,2,drive,"Hardik Pandya to Agha Salman, 2 runs, fullish in-angler, Salman pushes it off the inner half past mid-wicket and picks up a brace"
104,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,1,defend,"Hardik Pandya to Fakhar Zaman, 1 run, short of length delivery, Zaman mistimes the pull to deep square leg"
105,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,0,drive,"Hardik Pandya to Fakhar Zaman, no run, another delivery that goes past the edge"
106,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, 136ks fuller and around off, Zaman pushes it off the top half of the bat to cover"
107,Agha Salman,Hardik Pandya,,full,outside,0,0,0,cover drive,"Hardik Pandya to Agha Salman, leg byes, 1 run, nips back in from short of length, Salman hops and is beaten on the inside edge, the ball deflects off the thigh pad to backward point"
108,Agha Salman,Hardik Pandya,,length,outside,0,0,5,defend,"Hardik Pandya to Agha Salman, 5 wides, bouncer but too short and keeps climbing, Salman does not even have to duck fully and he sees the ball fly over him, no chance for Rahul as well"
109,Fakhar Zaman,Thakur,,full,straight,0,0,0,defend,"Thakur to Fakhar Zaman, no run, uhh, He produces jaffas every now and then"
110,Fakhar Zaman,Thakur,,full,leg,0,0,0,defend,"Thakur to Fakhar Zaman, no run, 135ks full delivery on off, Zaman defends it back to Shardul"
111,Agha Salman,Thakur,,full,outside,0,0,1,defend,"Thakur to Agha Salman, 1 run, 135ks full delivery on off, Salman flicks wide of mid-on and Hardik makes a good stop"
112,Agha Salman,Thakur,,full,outside,0,0,4,defend,"Thakur to Agha Salman, FOUR, lovely shot, Nothing wrong with the delivery"
113,Agha Salman,Thakur,,length,straight,0,0,2,defend,"Thakur to Agha Salman, 2 runs, short and width on offer, Salman slashes over backward point and Bumrah tidies up in the deep"
114,Fakhar Zaman,Thakur,,full,straight,0,0,1,defend,"Thakur to Fakhar Zaman, 1 run, short of length at the body, Zaman swivels and pulls to deep backward square"
115,Agha Salman,Hardik Pandya,,full,outside,0,0,0,cover drive,"Hardik Pandya to Agha Salman, no run, 138ks nips back in from good length, Salman shoulders arms"
116,Agha Salman,Hardik Pandya,,full,outside,0,0,0,cut,"Hardik Pandya to Agha Salman, no run, 140ks good length ball around off, Salman blocks to point"
117,Agha Salman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, full and at the stumps, Salman almost digs it out to mid-on"
118,Agha Salman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, appeal for caught behind from Hardik"
119,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,1,defend,"Hardik Pandya to Fakhar Zaman, 1 run, angled across the left hander, Zaman drives on the bounce to sweeper cover"
120,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, 136ks fullish delivery around off, Zaman prods forward and defends to cover"
121,Agha Salman,Thakur,,full,straight,0,0,0,drive,"Thakur to Agha Salman, no run, attacks the stumps, Salman is not fully forward as he blocks to the right of Shardul"
122,Agha Salman,Thakur,,full,straight,0,0,0,flick,"Thakur to Agha Salman, no run, fuller than a good length, Salman prods forward and defends to the off-side"
123,Fakhar Zaman,Thakur,,full,straight,0,0,1,defend,"Thakur to Fakhar Zaman, 1 run, short of length at the body, Zaman pulls it backward of square leg"
124,Fakhar Zaman,Thakur,,full,outside,0,1,1,defend,"Thakur to Fakhar Zaman, wide, wayward delivery down leg"
125,Rizwan,Hardik Pandya,,full,outside,0,0,1,cut,"Hardik Pandya to Rizwan, 1 run, full on off stump, Rizwan drives it to the left of mid-off for a quick single"
126,Rizwan,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Rizwan, no run, India lose their second review"
127,Babar Azam,Hardik Pandya,,full,outside,1,0,0,defend,"Hardik Pandya to Babar Azam, out Bowled,, Oh dear,, An absolute corker from Hardik Pandya, a big inswinger that is too good even for the Pakistani skipper"
128,Babar Azam,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Babar Azam, no run, good length and a bit of inward movements towards off stump"
129,Babar Azam,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Babar Azam, no run, 133 clicks, fuller on off stump, Babar defends it once again"
130,Babar Azam,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Babar Azam, no run, good length and straight, defended back to the bowler"
131,Babar Azam,Siraj,,length,outside,0,0,1,cut,"Siraj to Babar Azam, 1 run, length ball angling onto the pads, tucked to the right of mid-on for a single"
132,Babar Azam,Siraj,,short,straight,0,0,0,pull,"Siraj to Babar Azam, no run, 139 clicks, full on off stump, pushed towards mid-off"
133,Babar Azam,Siraj,,full,outside,0,0,4,pull,"Siraj to Babar Azam, FOUR, full and swings in, glanced to the right of the mid-wicket fielder and that will travel till the fence"
134,Babar Azam,Siraj,,full,straight,0,0,0,flick,"Siraj to Babar Azam, no run, full outside off, a cracking drive from Babar but towards mid-off"
135,Babar Azam,Siraj,,short,straight,0,0,0,pull,"Siraj to Babar Azam, no run, full and quick on off stump, Babar presents a solid defence"
136,Babar Azam,Siraj,,full,straight,0,0,0,defend,"Siraj to Babar Azam, no run, full and was the inswinger"
137,Fakhar Zaman,Bumrah,,full,straight,0,0,0,defend,"Bumrah to Fakhar Zaman, no run, full and coming in with the round the wicket angle"
138,Babar Azam,Bumrah,,full,straight,0,0,1,defend,"Bumrah to Babar Azam, 1 run, good length and wide, Azam punches at it and gets an edge that goes after a couple of bounces towards first slip"
139,Babar Azam,Bumrah,,full,outside,0,0,0,defend,"Bumrah to Babar Azam, no run, another beauty,, This was a length ball that held its line for the longest time before shaping away to beat the batter"
140,Babar Azam,Bumrah,,full,outside,0,0,0,leave,"Bumrah to Babar Azam, no run, 135 clicks, back of length, gets some steep bounce and away swing to beat Azam on the backfoot punch"
141,Babar Azam,Bumrah,,full,outside,0,0,4,defend,"Bumrah to Babar Azam, FOUR, finally Babar off the mark,, The first time that Bumrah has erred against him, was back of length and wide"
142,Fakhar Zaman,Bumrah,,full,straight,0,0,3,defend,"Bumrah to Fakhar Zaman, 3 runs, full and wide, Zaman pushes it between covers and mid-off for three runs"
143,Fakhar Zaman,Siraj,,length,straight,0,0,1,cut,"Siraj to Fakhar Zaman, 1 run, length ball on the pads, flicked towards Kuldeep at deep square leg"
144,Babar Azam,Siraj,,full,outside,0,0,0,drive,"Siraj to Babar Azam, leg byes, 1 run, back of length onto the thigh pad, deflects towards square leg"
145,Fakhar Zaman,Siraj,,full,outside,0,0,0,defend,"Siraj to Fakhar Zaman, leg byes, 1 run, India lose their review"
146,Fakhar Zaman,Siraj,,short,outside,0,0,4,defend,"Siraj to Fakhar Zaman, FOUR, a bit too full on off stump, Fakhar Zaman clears his front leg and hoists his drive to the right and over mid-off"
